stop_id                     , stop_name                           , latitude          , longitude        , locality          , zone                , active
STOP_FBD_28_29_MKT_321      , 28/29 Market                        , 28.428282521776346, 77.32038026859256, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_BADKHAL_322        , Badkhal                             , 28.411891568570876, 77.28308440211161, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_ANKHEER_VILL_323   , Ankheer Village                     , 28.426208461412717, 77.29147595330312, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_DELHI_MASJID_324   , Delhi Masjid                        , 28.410081844286054, 77.28271682838746, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_SAINIK_RL_325      , Sainik Colony Red Light             , 28.401897783349405, 77.27893122360449, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_PIYUSH_326         , Piyush Heights                      , 28.417512753446456, 77.36562747853223, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_SRS_RES_327        , SRS Residence                       , 28.410922031193607, 77.35239977933819, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_SEC15_328          , Sector 15                           , 28.395181596477858, 77.31948740347346, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_AZRONDA_329        , Azronda                             , 28.39543466343633 , 77.3151657574765 , Faridabad         , FARIDABAD           , TRUE
STOP_FBD_BK_330             , BK Gol Chakkar                      , 28.3919930797256  , 77.3015338385271 , Faridabad         , FARIDABAD           , TRUE
STOP_FBD_DAYANAND_331       , Dayanand College                    , 28.397566574328085, 77.29936567436525, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_MINI_BYPASS_332    , Mini By-Pass                        , 28.39962865587656 , 77.29735877337134, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_MULLA_333          , Mulla Hotel                         , 28.402677129904635, 77.29345244437765, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_ACHIEVER_334       , Achiever                            , 28.3978537814693  , 77.26599281577336, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_PALI_335           , Pali                                , 28.379067767718414, 77.24725540845107, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_NUNHERA_336        , Nunhera                             , 28.24737592444374 , 77.12544590186286, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_SEC3_337           , Sec 3                               , 28.35202036635203 , 77.33696161400694, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_GOODYER_338        , Goodyer Chowk                       , 28.354156276798342, 77.3160042786159 , Faridabad         , FARIDABAD           , TRUE
STOP_FBD_BALLAB_SOHNA_339   , Ballabhgarh Sohna Mor               , 28.343166417305966, 77.31703369395296, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_GOCHI_340          , Gochi Police Post                   , 28.34806965257165 , 77.30010541796928, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_DABUA_341          , Dabua Nala                          , 28.34864284612448 , 77.29181719884302, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_SARURPUR_342       , Sarurpur Chowk                      , 28.353959974326926, 77.2750468636499 , Faridabad         , FARIDABAD           , TRUE
STOP_FBD_NAGLA_343          , Nagla Chowk                         , 28.36109544340245 , 77.26357639142252, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_KHADI_344          , Khadi Mor                           , 28.37023796635365 , 77.25281831359445, Faridabad         , FARIDABAD           , TRUE
STOP_FBD_PALI_CHOWK_345     , Pali Chowk                          , 28.37723787265713 , 77.24524544006158, Faridabad         , FARIDABAD           , TRUE
